
2022-12-09 03:01:24: R15 datasets process: alg_name=QuickDSC, shape=(600, 2), k_neighbors=2, n_clusters=15, nmi=0.9885, ari=0.9856, ami=0.9876, time_cost=0.0188s
2022-12-11 17:26:10: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=41, n_clusters=15, nmi=0.9407, ari=0.9290, ami=0.9402, time_cost=0.3147s

2022-12-11 17:26:10: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=42, n_clusters=15, nmi=0.9417, ari=0.9319, ami=0.9413, time_cost=0.1999s

2022-12-11 17:26:11: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=43, n_clusters=15, nmi=0.9409, ari=0.9301, ami=0.9405, time_cost=0.1642s

2022-12-11 17:26:12: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=44, n_clusters=15, nmi=0.9410, ari=0.9284, ami=0.9406, time_cost=0.1821s

2022-12-11 17:26:13: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=45, n_clusters=15, nmi=0.9384, ari=0.9251, ami=0.9379, time_cost=0.3528s

2022-12-11 17:26:14: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=46, n_clusters=15, nmi=0.9398, ari=0.9267, ami=0.9393, time_cost=0.3179s

2022-12-11 17:26:14: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=47, n_clusters=15, nmi=0.9418, ari=0.9309, ami=0.9414, time_cost=0.3603s

2022-12-11 17:26:15: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=48, n_clusters=15, nmi=0.9417, ari=0.9308, ami=0.9413, time_cost=0.3840s

2022-12-11 17:28:06: S2 datasets process: alg_name=QuickDSC, shape=(5000, 2), k_neighbors=48, n_clusters=15, nmi=0.9417, ari=0.9308, ami=0.9413, time_cost=0.1851s

2022-12-11 17:30:49: Flame datasets process: alg_name=QuickDSC, shape=(240, 2), k_neighbors=3, n_clusters=2, nmi=0.5955, ari=0.6120, ami=0.5943, time_cost=0.0053s

2022-12-11 17:30:49: Flame datasets process: alg_name=QuickDSC, shape=(240, 2), k_neighbors=4, n_clusters=2, nmi=0.0055, ari=-0.0036, ami=-0.0025, time_cost=0.0029s

2022-12-11 17:42:40: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=2, n_clusters=3, nmi=0.5893, ari=0.4422, ami=0.5889, time_cost=0.0384s

2022-12-11 17:42:40: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=3, n_clusters=3, nmi=0.7962, ari=0.7382, ami=0.7961, time_cost=0.0290s

2022-12-11 17:42:40: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=4, n_clusters=3, nmi=0.8080, ari=0.7592, ami=0.8079, time_cost=0.0247s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=5, n_clusters=3, nmi=0.7989, ari=0.7662, ami=0.7987, time_cost=0.0165s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=6, n_clusters=3, nmi=0.7712, ari=0.6917, ami=0.7709, time_cost=0.0292s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=7, n_clusters=3, nmi=0.6647, ari=0.4710, ami=0.6643, time_cost=0.0469s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=8, n_clusters=3, nmi=0.9838, ari=0.9901, ami=0.9838, time_cost=0.0351s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=9, n_clusters=3, nmi=0.9936, ari=0.9967, ami=0.9936, time_cost=0.0325s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=10, n_clusters=3, nmi=0.9936, ari=0.9967, ami=0.9936, time_cost=0.0329s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=11, n_clusters=3, nmi=0.9936, ari=0.9967, ami=0.9936, time_cost=0.0216s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=12, n_clusters=3, nmi=0.9936, ari=0.9967, ami=0.9936, time_cost=0.0221s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=13, n_clusters=3, nmi=0.9930, ari=0.9967, ami=0.9930, time_cost=0.0387s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=14, n_clusters=3, nmi=0.9930, ari=0.9967, ami=0.9930, time_cost=0.0252s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=15, n_clusters=3, nmi=0.9936, ari=0.9967, ami=0.9936, time_cost=0.0249s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=16, n_clusters=3, nmi=0.9936, ari=0.9967, ami=0.9936, time_cost=0.0466s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=17, n_clusters=3, nmi=0.9930, ari=0.9967, ami=0.9930, time_cost=0.0458s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=18, n_clusters=3, nmi=0.9936, ari=0.9967, ami=0.9936, time_cost=0.0581s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=19, n_clusters=3, nmi=0.9936, ari=0.9967, ami=0.9936, time_cost=0.0607s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=20, n_clusters=3, nmi=0.9936, ari=0.9967, ami=0.9936, time_cost=0.0547s

2022-12-11 17:42:41: banana-ball datasets process: alg_name=QuickDSC, shape=(2000, 2), k_neighbors=21, n_clusters=3, nmi=0.9936, ari=0.9967, ami=0.9936, time_cost=0.0655s

2022-12-11 17:43:08: seeds datasets process: alg_name=QuickDSC, shape=(210, 7), k_neighbors=2, n_clusters=3, nmi=0.6440, ari=0.5732, ami=0.6407, time_cost=0.0076s

2022-12-11 17:43:08: seeds datasets process: alg_name=QuickDSC, shape=(210, 7), k_neighbors=3, n_clusters=3, nmi=0.7367, ari=0.7365, ami=0.7344, time_cost=0.0031s

2022-12-11 17:43:08: seeds datasets process: alg_name=QuickDSC, shape=(210, 7), k_neighbors=4, n_clusters=3, nmi=0.6306, ari=0.6891, ami=0.6274, time_cost=0.0037s

2022-12-11 17:43:08: seeds datasets process: alg_name=QuickDSC, shape=(210, 7), k_neighbors=5, n_clusters=3, nmi=0.4728, ari=0.4356, ami=0.4668, time_cost=0.0038s

2022-12-11 17:43:08: seeds datasets process: alg_name=QuickDSC, shape=(210, 7), k_neighbors=6, n_clusters=3, nmi=0.5115, ari=0.4554, ami=0.5056, time_cost=0.0039s

2022-12-11 17:43:08: seeds datasets process: alg_name=QuickDSC, shape=(210, 7), k_neighbors=7, n_clusters=3, nmi=0.5115, ari=0.4554, ami=0.5056, time_cost=0.0038s

2022-12-11 17:43:08: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=5, n_clusters=2, nmi=0.1033, ari=0.0955, ami=0.1027, time_cost=0.0269s

2022-12-11 17:43:08: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=6, n_clusters=2, nmi=0.2632, ari=0.2229, ami=0.2628, time_cost=0.0256s

2022-12-11 17:43:08: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=7, n_clusters=2, nmi=0.0023, ari=0.0030, ami=0.0018, time_cost=0.0381s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=8, n_clusters=2, nmi=0.0278, ari=0.0319, ami=0.0273, time_cost=0.0278s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=9, n_clusters=2, nmi=0.2636, ari=0.2036, ami=0.2631, time_cost=0.0287s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=10, n_clusters=2, nmi=0.2962, ari=0.1590, ami=0.2958, time_cost=0.0381s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=11, n_clusters=2, nmi=0.0732, ari=0.1059, ami=0.0727, time_cost=0.0311s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=12, n_clusters=2, nmi=0.0271, ari=0.0255, ami=0.0266, time_cost=0.0322s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=13, n_clusters=2, nmi=0.0001, ari=-0.0004, ami=-0.0004, time_cost=0.0351s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=14, n_clusters=2, nmi=0.0090, ari=0.0109, ami=0.0085, time_cost=0.0368s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=15, n_clusters=2, nmi=0.0170, ari=0.0286, ami=0.0164, time_cost=0.0447s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=16, n_clusters=2, nmi=0.0562, ari=0.0787, ami=0.0556, time_cost=0.0270s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=17, n_clusters=2, nmi=0.1105, ari=0.1327, ami=0.1100, time_cost=0.0368s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=18, n_clusters=2, nmi=0.1578, ari=0.1995, ami=0.1574, time_cost=0.0475s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=19, n_clusters=2, nmi=0.2863, ari=0.3686, ami=0.2859, time_cost=0.0495s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=20, n_clusters=2, nmi=0.2863, ari=0.3686, ami=0.2859, time_cost=0.0262s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=21, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0384s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=22, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0255s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=23, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0473s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=24, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0525s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=25, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0443s

2022-12-11 17:43:09: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=26, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0279s

2022-12-11 17:43:10: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=27, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0655s

2022-12-11 17:43:10: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=28, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0329s

2022-12-11 17:43:10: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=29, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0580s

2022-12-11 17:43:10: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=30, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0611s

2022-12-11 17:43:10: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=31, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0561s

2022-12-11 17:43:10: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=32, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0492s

2022-12-11 17:43:10: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=33, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0346s

2022-12-11 17:43:10: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=34, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0351s

2022-12-11 17:43:10: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=35, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0708s

2022-12-11 17:43:10: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=36, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0469s

2022-12-11 17:43:10: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=37, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0454s

2022-12-11 17:43:10: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=38, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0716s

2022-12-11 17:43:10: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=39, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0722s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=5, n_clusters=2, nmi=0.1033, ari=0.0955, ami=0.1027, time_cost=0.0248s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=6, n_clusters=2, nmi=0.2632, ari=0.2229, ami=0.2628, time_cost=0.0231s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=7, n_clusters=2, nmi=0.0023, ari=0.0030, ami=0.0018, time_cost=0.0303s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=8, n_clusters=2, nmi=0.0278, ari=0.0319, ami=0.0273, time_cost=0.0266s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=9, n_clusters=2, nmi=0.2636, ari=0.2036, ami=0.2631, time_cost=0.0310s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=10, n_clusters=2, nmi=0.2962, ari=0.1590, ami=0.2958, time_cost=0.0299s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=11, n_clusters=2, nmi=0.0732, ari=0.1059, ami=0.0727, time_cost=0.0293s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=12, n_clusters=2, nmi=0.0271, ari=0.0255, ami=0.0266, time_cost=0.0351s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=13, n_clusters=2, nmi=0.0001, ari=-0.0004, ami=-0.0004, time_cost=0.0308s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=14, n_clusters=2, nmi=0.0090, ari=0.0109, ami=0.0085, time_cost=0.0213s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=15, n_clusters=2, nmi=0.0170, ari=0.0286, ami=0.0164, time_cost=0.0274s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=16, n_clusters=2, nmi=0.0562, ari=0.0787, ami=0.0556, time_cost=0.0364s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=17, n_clusters=2, nmi=0.1105, ari=0.1327, ami=0.1100, time_cost=0.0471s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=18, n_clusters=2, nmi=0.1578, ari=0.1995, ami=0.1574, time_cost=0.0390s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=19, n_clusters=2, nmi=0.2863, ari=0.3686, ami=0.2859, time_cost=0.0483s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=20, n_clusters=2, nmi=0.2863, ari=0.3686, ami=0.2859, time_cost=0.0311s

2022-12-11 17:43:39: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=21, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0237s

2022-12-11 17:43:40: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=22, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0249s

2022-12-11 17:43:40: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=23, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0537s

