
2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.1,min_samples:2), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0107s
2022-12-09 03:42:08: Flame datasets process: alg_name=DBSCAN, shape=(240, 2), k_neighbors=(eps:0.2,min_samples:4), n_clusters=2, nmi=0.0124, ari=0.0063, ami=0.0045, time_cost=0.0018s

2022-12-09 03:42:08: Flame datasets process: alg_name=DBSCAN, shape=(240, 2), k_neighbors=(eps:0.2,min_samples:5), n_clusters=2, nmi=0.0124, ari=0.0063, ami=0.0045, time_cost=0.0019s

2022-12-09 03:42:08: Flame datasets process: alg_name=DBSCAN, shape=(240, 2), k_neighbors=(eps:0.2,min_samples:6), n_clusters=2, nmi=0.0124, ari=0.0063, ami=0.0045, time_cost=0.0022s

2022-12-09 03:42:08: Flame datasets process: alg_name=DBSCAN, shape=(240, 2), k_neighbors=(eps:0.2,min_samples:7), n_clusters=2, nmi=0.0124, ari=0.0063, ami=0.0045, time_cost=0.0019s

2022-12-09 03:42:08: Flame datasets process: alg_name=DBSCAN, shape=(240, 2), k_neighbors=(eps:0.2,min_samples:8), n_clusters=2, nmi=0.0124, ari=0.0063, ami=0.0045, time_cost=0.0019s

2022-12-09 03:42:08: Flame datasets process: alg_name=DBSCAN, shape=(240, 2), k_neighbors=(eps:0.2,min_samples:9), n_clusters=2, nmi=0.0124, ari=0.0063, ami=0.0045, time_cost=0.0019s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.1,min_samples:2), n_clusters=3, nmi=0.2459, ari=0.0068, ami=0.1515, time_cost=0.0040s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.1,min_samples:3), n_clusters=3, nmi=0.1831, ari=0.0127, ami=0.1313, time_cost=0.0021s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.1,min_samples:4), n_clusters=3, nmi=0.0357, ari=0.0011, ami=0.0259, time_cost=0.0018s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.2,min_samples:2), n_clusters=3, nmi=0.4980, ari=0.4116, ami=0.4761, time_cost=0.0018s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.2,min_samples:3), n_clusters=3, nmi=0.4839, ari=0.4097, ami=0.4759, time_cost=0.0044s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.2,min_samples:4), n_clusters=3, nmi=0.4905, ari=0.4143, ami=0.4827, time_cost=0.0028s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.2,min_samples:5), n_clusters=3, nmi=0.4617, ari=0.3839, ami=0.4507, time_cost=0.0031s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.2,min_samples:6), n_clusters=3, nmi=0.4214, ari=0.2937, ami=0.4138, time_cost=0.0044s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.2,min_samples:7), n_clusters=3, nmi=0.4097, ari=0.2819, ami=0.4019, time_cost=0.0043s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.2,min_samples:8), n_clusters=3, nmi=0.3922, ari=0.2700, ami=0.3839, time_cost=0.0031s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.2,min_samples:9), n_clusters=3, nmi=0.5017, ari=0.3693, ami=0.4937, time_cost=0.0022s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.3,min_samples:2), n_clusters=3, nmi=0.0198, ari=0.0000, ami=0.0009, time_cost=0.0021s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.3,min_samples:3), n_clusters=3, nmi=0.0198, ari=0.0000, ami=0.0009, time_cost=0.0021s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.3,min_samples:4), n_clusters=3, nmi=0.0131, ari=0.0000, ami=0.0030, time_cost=0.0021s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.3,min_samples:5), n_clusters=3, nmi=0.0131, ari=0.0000, ami=0.0030, time_cost=0.0021s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.3,min_samples:6), n_clusters=3, nmi=0.0131, ari=0.0000, ami=0.0030, time_cost=0.0021s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.3,min_samples:7), n_clusters=3, nmi=0.0131, ari=0.0000, ami=0.0030, time_cost=0.0021s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.3,min_samples:8), n_clusters=3, nmi=0.0131, ari=0.0000, ami=0.0030, time_cost=0.0025s

2022-12-09 03:42:24: seeds datasets process: alg_name=DBSCAN, shape=(210, 7), k_neighbors=(eps:0.3,min_samples:9), n_clusters=3, nmi=0.0131, ari=0.0000, ami=0.0030, time_cost=0.0025s

2022-12-09 03:42:26: banknote datasets process: alg_name=DBSCAN, shape=(1372, 4), k_neighbors=(eps:0.1,min_samples:2), n_clusters=2, nmi=0.7375, ari=0.8263, ami=0.7362, time_cost=0.0128s

2022-12-09 03:42:26: banknote datasets process: alg_name=DBSCAN, shape=(1372, 4), k_neighbors=(eps:0.1,min_samples:3), n_clusters=2, nmi=0.7375, ari=0.8263, ami=0.7362, time_cost=0.0128s

2022-12-09 03:42:26: banknote datasets process: alg_name=DBSCAN, shape=(1372, 4), k_neighbors=(eps:0.1,min_samples:4), n_clusters=2, nmi=0.7409, ari=0.8263, ami=0.7399, time_cost=0.0128s

2022-12-09 03:42:26: banknote datasets process: alg_name=DBSCAN, shape=(1372, 4), k_neighbors=(eps:0.1,min_samples:5), n_clusters=2, nmi=0.7358, ari=0.8260, ami=0.7346, time_cost=0.0201s

2022-12-09 03:42:26: banknote datasets process: alg_name=DBSCAN, shape=(1372, 4), k_neighbors=(eps:0.1,min_samples:6), n_clusters=2, nmi=0.7331, ari=0.8260, ami=0.7319, time_cost=0.0198s

2022-12-09 03:42:26: banknote datasets process: alg_name=DBSCAN, shape=(1372, 4), k_neighbors=(eps:0.1,min_samples:7), n_clusters=2, nmi=0.7289, ari=0.8258, ami=0.7276, time_cost=0.0253s

2022-12-09 03:42:26: banknote datasets process: alg_name=DBSCAN, shape=(1372, 4), k_neighbors=(eps:0.1,min_samples:8), n_clusters=2, nmi=0.6975, ari=0.8020, ami=0.6961, time_cost=0.0127s

2022-12-09 03:42:26: banknote datasets process: alg_name=DBSCAN, shape=(1372, 4), k_neighbors=(eps:0.1,min_samples:9), n_clusters=2, nmi=0.6975, ari=0.8020, ami=0.6961, time_cost=0.0128s

2022-12-09 03:42:34: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.1,min_samples:2), n_clusters=7, nmi=0.4921, ari=0.1628, ami=0.4264, time_cost=0.1200s

2022-12-09 03:42:34: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.1,min_samples:3), n_clusters=7, nmi=0.4842, ari=0.1488, ami=0.4451, time_cost=0.0726s

2022-12-09 03:42:34: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.1,min_samples:4), n_clusters=7, nmi=0.4696, ari=0.1297, ami=0.4418, time_cost=0.0719s

2022-12-09 03:42:34: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.1,min_samples:5), n_clusters=7, nmi=0.4521, ari=0.1084, ami=0.4263, time_cost=0.0804s

2022-12-09 03:42:34: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.1,min_samples:6), n_clusters=7, nmi=0.4365, ari=0.1021, ami=0.4180, time_cost=0.0709s

2022-12-09 03:42:34: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.1,min_samples:7), n_clusters=7, nmi=0.4153, ari=0.0849, ami=0.3983, time_cost=0.1393s

2022-12-09 03:42:35: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.1,min_samples:8), n_clusters=7, nmi=0.3909, ari=0.0704, ami=0.3769, time_cost=0.1412s

2022-12-09 03:42:35: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.1,min_samples:9), n_clusters=7, nmi=0.3666, ari=0.0599, ami=0.3551, time_cost=0.1257s

2022-12-09 03:42:35: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.2,min_samples:2), n_clusters=7, nmi=0.5082, ari=0.2095, ami=0.4872, time_cost=0.1456s

2022-12-09 03:42:35: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.2,min_samples:3), n_clusters=7, nmi=0.5038, ari=0.2097, ami=0.4923, time_cost=0.1470s

2022-12-09 03:42:35: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.2,min_samples:4), n_clusters=7, nmi=0.5006, ari=0.2103, ami=0.4917, time_cost=0.1362s

2022-12-09 03:42:35: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.2,min_samples:5), n_clusters=7, nmi=0.4955, ari=0.2095, ami=0.4876, time_cost=0.2030s

2022-12-09 03:42:35: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.2,min_samples:6), n_clusters=7, nmi=0.4875, ari=0.2087, ami=0.4812, time_cost=0.0712s

2022-12-09 03:42:36: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.2,min_samples:7), n_clusters=7, nmi=0.4799, ari=0.2074, ami=0.4753, time_cost=0.0717s

2022-12-09 03:42:36: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.2,min_samples:8), n_clusters=7, nmi=0.4789, ari=0.2080, ami=0.4738, time_cost=0.0712s

2022-12-09 03:42:36: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.2,min_samples:9), n_clusters=7, nmi=0.4676, ari=0.2052, ami=0.4629, time_cost=0.1227s

2022-12-09 03:42:36: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.3,min_samples:2), n_clusters=7, nmi=0.5081, ari=0.2239, ami=0.4952, time_cost=0.1442s

2022-12-09 03:42:36: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.3,min_samples:3), n_clusters=7, nmi=0.5019, ari=0.2239, ami=0.4957, time_cost=0.0938s

2022-12-09 03:42:36: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.3,min_samples:4), n_clusters=7, nmi=0.5014, ari=0.2238, ami=0.4960, time_cost=0.1169s

2022-12-09 03:42:36: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.3,min_samples:5), n_clusters=7, nmi=0.5017, ari=0.2240, ami=0.4971, time_cost=0.1111s

2022-12-09 03:42:36: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.3,min_samples:6), n_clusters=7, nmi=0.4985, ari=0.2237, ami=0.4939, time_cost=0.0749s

2022-12-09 03:42:37: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.3,min_samples:7), n_clusters=7, nmi=0.4944, ari=0.2234, ami=0.4906, time_cost=0.1429s

2022-12-09 03:42:37: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.3,min_samples:8), n_clusters=7, nmi=0.4936, ari=0.2232, ami=0.4898, time_cost=0.1476s

2022-12-09 03:42:37: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.3,min_samples:9), n_clusters=7, nmi=0.4940, ari=0.2236, ami=0.4902, time_cost=0.1560s

2022-12-09 03:42:37: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.4,min_samples:2), n_clusters=7, nmi=0.5564, ari=0.2434, ami=0.5511, time_cost=0.0891s

2022-12-09 03:42:37: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.4,min_samples:3), n_clusters=7, nmi=0.5537, ari=0.2435, ami=0.5508, time_cost=0.0793s

2022-12-09 03:42:37: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.4,min_samples:4), n_clusters=7, nmi=0.5539, ari=0.2435, ami=0.5515, time_cost=0.0800s

2022-12-09 03:42:37: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.4,min_samples:5), n_clusters=7, nmi=0.5538, ari=0.2437, ami=0.5517, time_cost=0.1437s

2022-12-09 03:42:38: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.4,min_samples:6), n_clusters=7, nmi=0.5524, ari=0.2438, ami=0.5504, time_cost=0.1959s

2022-12-09 03:42:38: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.4,min_samples:7), n_clusters=7, nmi=0.5524, ari=0.2438, ami=0.5504, time_cost=0.0800s

2022-12-09 03:42:38: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.4,min_samples:8), n_clusters=7, nmi=0.5522, ari=0.2444, ami=0.5501, time_cost=0.0821s

2022-12-09 03:42:38: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.4,min_samples:9), n_clusters=7, nmi=0.5522, ari=0.2444, ami=0.5501, time_cost=0.0838s

2022-12-09 03:42:38: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.5,min_samples:2), n_clusters=7, nmi=0.5506, ari=0.2427, ami=0.5455, time_cost=0.0974s

2022-12-09 03:42:38: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.5,min_samples:3), n_clusters=7, nmi=0.5479, ari=0.2427, ami=0.5453, time_cost=0.1553s

2022-12-09 03:42:38: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.5,min_samples:4), n_clusters=7, nmi=0.5481, ari=0.2430, ami=0.5460, time_cost=0.0824s

2022-12-09 03:42:39: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.5,min_samples:5), n_clusters=7, nmi=0.5480, ari=0.2431, ami=0.5463, time_cost=0.1976s

2022-12-09 03:42:39: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.5,min_samples:6), n_clusters=7, nmi=0.5480, ari=0.2431, ami=0.5463, time_cost=0.1139s

2022-12-09 03:42:39: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.5,min_samples:7), n_clusters=7, nmi=0.5480, ari=0.2431, ami=0.5463, time_cost=0.0898s

2022-12-09 03:42:39: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.5,min_samples:8), n_clusters=7, nmi=0.5475, ari=0.2431, ami=0.5459, time_cost=0.0820s

2022-12-09 03:42:39: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.5,min_samples:9), n_clusters=7, nmi=0.5475, ari=0.2431, ami=0.5459, time_cost=0.1398s

2022-12-09 03:42:39: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.6,min_samples:2), n_clusters=7, nmi=0.0178, ari=0.0001, ami=0.0089, time_cost=0.1740s

2022-12-09 03:42:39: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.6,min_samples:3), n_clusters=7, nmi=0.0150, ari=0.0002, ami=0.0106, time_cost=0.0939s

2022-12-09 03:42:39: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.6,min_samples:4), n_clusters=7, nmi=0.0150, ari=0.0002, ami=0.0106, time_cost=0.1264s

2022-12-09 03:42:40: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.6,min_samples:5), n_clusters=7, nmi=0.0144, ari=0.0002, ami=0.0115, time_cost=0.0895s

2022-12-09 03:42:40: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.6,min_samples:6), n_clusters=7, nmi=0.0141, ari=0.0002, ami=0.0127, time_cost=0.0895s

2022-12-09 03:42:40: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.6,min_samples:7), n_clusters=7, nmi=0.0141, ari=0.0002, ami=0.0127, time_cost=0.0929s

2022-12-09 03:42:40: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.6,min_samples:8), n_clusters=7, nmi=0.0141, ari=0.0002, ami=0.0127, time_cost=0.1238s

2022-12-09 03:42:40: segmentation datasets process: alg_name=DBSCAN, shape=(2310, 19), k_neighbors=(eps:0.6,min_samples:9), n_clusters=7, nmi=0.0141, ari=0.0002, ami=0.0127, time_cost=0.1728s

2022-12-09 03:44:00: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.1,min_samples:2), n_clusters=5, nmi=0.0127, ari=0.0009, ami=0.0047, time_cost=0.3735s

2022-12-09 03:44:03: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.2,min_samples:2), n_clusters=5, nmi=0.0667, ari=0.0069, ami=0.0488, time_cost=0.4067s

2022-12-09 03:44:03: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.2,min_samples:3), n_clusters=5, nmi=0.0504, ari=0.0058, ami=0.0438, time_cost=0.3374s

2022-12-09 03:44:04: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.2,min_samples:4), n_clusters=5, nmi=0.0454, ari=0.0051, ami=0.0409, time_cost=0.3394s

2022-12-09 03:44:04: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.2,min_samples:5), n_clusters=5, nmi=0.0364, ari=0.0040, ami=0.0335, time_cost=0.3278s

2022-12-09 03:44:04: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.2,min_samples:6), n_clusters=5, nmi=0.0342, ari=0.0040, ami=0.0319, time_cost=0.4556s

2022-12-09 03:44:05: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.2,min_samples:7), n_clusters=5, nmi=0.0237, ari=0.0026, ami=0.0206, time_cost=0.3307s

2022-12-09 03:44:05: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.2,min_samples:8), n_clusters=5, nmi=0.0124, ari=0.0013, ami=0.0112, time_cost=0.3243s

2022-12-09 03:44:06: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.3,min_samples:2), n_clusters=5, nmi=0.2676, ari=0.0684, ami=0.2422, time_cost=0.3811s

2022-12-09 03:44:06: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.3,min_samples:3), n_clusters=5, nmi=0.2556, ari=0.0647, ami=0.2472, time_cost=0.2904s

2022-12-09 03:44:07: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.3,min_samples:4), n_clusters=5, nmi=0.2420, ari=0.0590, ami=0.2376, time_cost=0.3997s

2022-12-09 03:44:07: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.3,min_samples:5), n_clusters=5, nmi=0.2282, ari=0.0537, ami=0.2247, time_cost=0.3967s

2022-12-09 03:44:07: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.3,min_samples:6), n_clusters=5, nmi=0.2180, ari=0.0507, ami=0.2144, time_cost=0.3479s

2022-12-09 03:44:08: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.3,min_samples:7), n_clusters=5, nmi=0.2066, ari=0.0477, ami=0.2045, time_cost=0.2996s

2022-12-09 03:44:08: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.3,min_samples:8), n_clusters=5, nmi=0.2019, ari=0.0469, ami=0.1994, time_cost=0.3203s

2022-12-09 03:44:08: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.3,min_samples:9), n_clusters=5, nmi=0.1973, ari=0.0454, ami=0.1947, time_cost=0.2889s

2022-12-09 03:44:09: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.4,min_samples:2), n_clusters=5, nmi=0.5133, ari=0.3330, ami=0.4990, time_cost=0.4078s

2022-12-09 03:44:09: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.4,min_samples:3), n_clusters=5, nmi=0.5306, ari=0.3318, ami=0.5265, time_cost=0.4590s

2022-12-09 03:44:10: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.4,min_samples:4), n_clusters=5, nmi=0.5265, ari=0.3234, ami=0.5239, time_cost=0.3484s

2022-12-09 03:44:10: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.4,min_samples:5), n_clusters=5, nmi=0.5187, ari=0.3109, ami=0.5165, time_cost=0.3283s

2022-12-09 03:44:10: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.4,min_samples:6), n_clusters=5, nmi=0.5116, ari=0.3012, ami=0.5101, time_cost=0.3290s

